handle,product_name,SKU (from Shopify),HSN Code,Packaging Length (cm),Packaging Width (cm),Packaging Height (cm),GST Code (%)
yellow-zircon-ring-in-925-silver-by-svadezi,Yellow Zircon Ring in 925 Silver by SVADEZI,SLR92/23333,,,,,
tangled-ring-in-925-silver-by-svadezi,Tangled Ring in 925 Silver by SVADEZI,STPS/21927,,,,,
sexy-blue-topaz-pendant-in-925-silver-by-svadezi,Sexy Blue Topaz Pendant in 925 Silver by SVADEZI,SCH/14268,,,,,
hug-bracelet-in-925-silver-by-svadezi,Hug Bracelet in 925 Silver by SVADEZI,SBRL/9504,,,,,
captivating-heart-pendant-in-925-silver-by-svadezi,Captivating Heart Pendant in 925 Silver by SVADEZI,SCH/11501,,,,,
designer-blue-topaz-in-skyblue-border,Designer Semi Precious Stone Ring in Same Border in 925 Silver by SVADEZI,,,,,,
antique-mystical-owl-ring-adjustable-in-925-silver-by-svadezi,Antique Mystical Owl Ring (Adjustable) in 925 Silver by SVADEZI,SLR92/18024,,,,,
heart-and-lock-pendant-in-925-silver-by-svadezi,Heart And Lock Pendant in 925 Silver by SVADEZI,SCH/8574,,,,,
dazzling-silver-butterfly-earring-in-925-silver-by-svadezi,Dazzling Silver Butterfly Earring in 925 Silver by SVADEZI,STPS/19351,,,,,
heart-and-lock-earrings-in-925-silver-by-svadezi,Heart and Lock Earrings in 925 Silver by SVADEZI,STPS/15380,,,,,
green-onyx-butterfly-earring-in-925-silver-by-svadezi,Green Onyx Butterfly Earring in 925 Silver by SVADEZI,,,,,,
smiley-dual-tone-studs-in-925-silver-by-svadezi,Smiley dual-tone studs in 925 Silver by SVADEZI,STPS/16203,,,,,
tennis-ring-5a-zircon-in-925-silver-by-svadezi,Tennis Ring 5A Zircon in 925 Silver by SVADEZI,,,,,,
krishna-flute-pendant-with-chain-in-925-silver-by-svadezi,Krishna Flute Pendant with Chain in 925 Silver by SVADEZI,SPSK/2014,,,,,
pink-radiance-stone,Pink Radiance Stone,SBRL/8907,,,,,
pure-radiance-zircon,Pure Radiance Zircon,SBRL/16989,,,,,
the-lumina-zircon,The Lumina Zircon,SCSET/1022,,,,,
roseate-remembrance-chain,Roseate Remembrance Chain,SCH/15204,,,,,
classic-radiance-silver-chain,Classic Radiance Silver Chain,SCH/24632,,,,,
eternity-heart-chain,Eternity Heart Chain,SCH/24635,,,,,
celestial-gleam-pendant-chain,Celestial Gleam Pendant & Chain,SCH/21116,,,,,
divine-om-flute-pendant-for-peace-harmony-gold-polished,Divine Om Flute Pendant for Peace & Harmony | Gold-Polished,SCH/21105,,,,,
krishna-feather-flute-silver-pendant-elegant-devotion,Krishna Feather & Flute Silver Pendant - Elegant Devotion,SCH/21003,,,,,
silver-pendant-luxurious-shine-for-everyday-special-events,Silver Pendant: Luxurious Shine for Everyday & Special Events,SCH/11523,,,,,
reflective-silver-pendant,925 Silver Wing Necklace - White Zircon,SCH/17989,,,,,
silver-heart-arrow-mop-charm-necklace,Silver Heart & Arrow MOP Charm Necklace,SCH/19405,,,,,
mother-of-pearl-heart-arrow-pendant-silver-adjustable-chain,Mother of Pearl Heart & Arrow Pendant | Silver Adjustable Chain,SCH/13895,,,,,
swan-zircon-necklace,Swan Zircon Necklace,SCH/21302,,,,,
artistic-flute-feather-silver-chain-nature-inspired-elegance,Artistic Flute Feather Silver Chain: Nature-Inspired Elegance,SCH/20918,,,,,
timeless-heart-pendant-elegant-jewelry-gift,Timeless Heart Pendant - Elegant Jewelry Gift,SCH/18987,,,,,
romantic-silver-charm-chain-with-swarovski-zircon-hearts,Romantic Silver Charm Chain with Swarovski Zircon Hearts,SCH/24629,,,,,
swarovski-zircon-rose-gold-silver-drop-earrings,Swarovski Zircon Rose Gold Silver Drop Earrings,STPS/11689,,,,,
rose-gold-star-earrings-celestial-sparkle,Rose Gold Star Earrings | Celestial Sparkle,STPS/18205,,,,,
statement-earrings-classic-contemporary-styles,Statement Earrings: Classic & Contemporary Styles,STPS/16984,,,,,
flower-shape-hanging-earrings-elegant-high-quality-floral-design,Flower Shape Hanging Earrings - Elegant High-Quality Floral Design,STPS/26948,,,,,
stylish-4-in-1-earrings-pearl-crystal-silver-geometric,"Stylish 4-in-1 Earrings: Pearl, Crystal, Silver & Geometric",STPS/19578,,,,,
silver-heart-ring-2-in-1-timeless-love-jewelry,Silver Heart Ring 2-in-1 | Timeless Love Jewelry,SLR92/34278,,,,,
rose-gold-snake-ring-elegant-wrap-statement,Rose Gold Snake Ring | Elegant Wrap Statement,SLR92/14626,,,,,
stunning-star-ring-in-rose-gold-timeless-design,Stunning Star Ring in Rose Gold | Timeless Design,SLR92/33957,,,,,
cosmic-embrace-ring,Cosmic Embrace Ring,SLR92/34449,,,,,
rose-gold-butterfly-ring-elegant-whimsical-jewelry,Rose Gold Butterfly Ring: Elegant & Whimsical Jewelry,SLR92/34144,,,,,
whimsical-silver-butterfly-ring-with-intricate-band,Whimsical Silver Butterfly Ring with Intricate Band,SLR92/34145,,,,,
shimmering-square-silver-ring-with-open-center,Shimmering Square Silver Ring with Open Center,SLR92/33717,,,,,
enchanting-butterfly-minable-ring,Enchanting Butterfly Minable Ring,SLR92/20313,,,,,
silver-rose-gold-dual-butterfly,Silver & Rose Gold Dual Butterfly,SLR92/22067,,,,,
rose-gold-butterfly-ring-elegance-whimsy,Rose Gold Butterfly Ring: Elegance & Whimsy,SLR92/31683,,,,,
unique-teddy-bear-rings,Unique Teddy Bear Rings,SLR92/10228,,,,,
sterling-silver-butterfly-ring-symbol-of-transformation,Sterling Silver Butterfly Ring - Symbol of Transformation,SLR92/18604,,,,,
2-in-1-ring-bracelet-unique-shape-shifting-jewelry,2-in-1 Ring & Bracelet | Unique Shape-Shifting Jewelry,SLR92/33766,,,,,
rose-gold-ring-bracelet,Rose Gold Ring Bracelet,SLR92/12878,,,,,
stunning-dual-tone-ring-bracelet-versatile-convertible-jewelry,Stunning Dual-Tone Ring Bracelet | Versatile Convertible Jewelry,SLR92/33782,,,,,
dual-tone-ring-to-bracelet-unique-sophisticated-design,Dual-Tone Ring to Bracelet | Unique & Sophisticated Design,SLR92/17789,,,,,
sparkling-silver-ring-bracelet-convertible-crystal-jewelry,Sparkling Silver Ring Bracelet | Convertible Crystal Jewelry,SLR92/33974,,,,,
dazzling-rose-gold-heart-ring-bracelet-multi-band-convertible-jewelry,Dazzling Rose Gold Heart Ring Bracelet | Multi-Band Convertible Jewelry,SLR92/34024,,,,,
romantic-gold-polish-ring-cum-bracelet-crystal-heart-modern-multi-band-style,Romantic Gold Polish Ring Cum Bracelet | Crystal Heart & Modern Multi-Band Style,SLR92/5196,,,,,
silver-ring-cum-bracelet-with-crystals-elegant-multi-band-design,Silver Ring Cum Bracelet with Crystals | Elegant Multi-Band Design,SLR92/33975,,,,,
dazzling-heart-rose-gold-tone-ring-bracelet-statement-piece,Dazzling Heart Rose Gold Tone Ring & Bracelet | Statement Piece,SLR92/34026,,,,,
flute-feather-silver-chain-nature-inspired-elegant-necklace,Flute Feather Silver Chain | Nature-Inspired Elegant Necklace,SCH/21097,,,,,
pearl-crystal-silver-geometric-4-in-1-earrings,"Pearl, Crystal, Silver & Geometric 4-in-1 Earrings",STPS/1957,,,,,
jhango-test,SVADEZI Seraphine Aura Diamond Earrings jhango test,,,,,,
